trade_date,code,name,close,pct_chg,amount,turnover_rate,body_abs,prev_body_abs,body_wins_prev,volume_wins_prev,bullish_dual_win,bearish_dual_win,bullish_reversal_dual_win,bullish_continuation_dual_win,bearish_reversal_dual_win,bearish_continuation_dual_win,fire_k,fire_k_dual_win,fire_k_volume_expanded,attack_k,days_since_attack,retains_attack_close,center_not_falling_5d,volume_contracting_5d,range_contracting_5d,pre_ignition_window,ret_5d,prior_ret_5d,delta_net_displacement_5d,ret_10d,path_efficiency_5d,prior_path_efficiency_5d,delta_path_efficiency_5d,path_efficiency_10d,volume_intensity_5d,prior_volume_intensity_5d,delta_volume_intensity_5d,vp_conversion_efficiency_5d,prior_vp_conversion_efficiency_5d,delta_vp_conversion_efficiency_5d,near_or_breaks_20d_high,price_efficiency_improving,quiet_rising_efficiency,scan_score
2026-09-03,300830,金现代,10.09,19.976,339677199.0,10.16431,0.9800000000000004,0.07000000000000028,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.273989898989899,-0.016149068322981464,0.29013896731288047,0.2534161490683229,1.0238668563421784,-0.2453714664170704,1.2692383227592487,0.760055775593638,1.6225608047039108,0.7603585929087006,0.8622022117952103,0.16886263873476065,-0.021238752969443393,0.19010139170420404,True,True,False,8
2026-09-03,301086,鸿富瀚,157.57,15.166,1649606504.0,15.53347,11.849999999999994,8.73999999999998,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.24266561514195573,0.05693089939151452,0.1857347157504412,0.313411686254897,0.7134503311377641,0.1618449641213845,0.5516053670163796,0.4529780186545471,1.3439611935762488,1.2717927050500275,0.07216848852622126,0.18055998662895043,0.04476429151185851,0.1357956951170919,True,True,False,8
2026-09-03,301008,宏昌科技,46.16,13.695,872194925.0,17.17282,5.549999999999997,1.759999999999998,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.1778514927277366,-0.011850731215330312,0.1897022239430669,0.16389309127584473,0.5548450048186301,-0.08765402223265574,0.6424990270512858,0.35961845616644994,0.8614119288283596,0.7647542925770137,0.09665763625134594,0.20646509152669784,-0.015496129057865862,0.2219612205845637,True,True,False,8
2026-09-03,688479,友车科技,36.88,12.886,230652499.0,7.43491,4.670000000000002,0.30999999999999517,True,True,True,False,True,False,False,False,True,True,True,True,0.0,True,True,False,False,False,0.13128834355828234,-0.027446300715990524,0.15873464427427286,0.10023866348448696,0.4128288552641202,-0.3466065826335085,0.7594354378976287,0.2523587641699297,1.1692655980377427,0.8019745825134684,0.36729101552427423,0.11228273865117555,-0.034223404724338116,0.14650614337551365,True,True,False,8
2026-09-03,688026,洁特生物,20.94,12.581,300250323.0,10.51138,1.9700000000000024,0.8399999999999999,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.3380191693290735,-0.06118776244751056,0.39920693177658406,0.25614877024595084,0.8362220260490769,-0.4528363765383437,1.2890584025874205,0.47492746880697867,1.2959538208988337,0.7015569166045317,0.594396904294302,0.26082655406242317,-0.08721710384333958,0.34804365790576275,True,True,False,8
2026-09-03,301282,金禄电子,40.6,12.31,1146858155.0,16.31437,2.9200000000000017,0.14999999999999858,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.16733755031627373,-0.05257423045491694,0.21991178077119067,0.10596567692726788,0.6943706175566097,-0.35563785182890884,1.0500084693855185,0.2725296946914234,0.8941291659779,1.051640214249257,-0.15751104827135687,0.1871514280973693,-0.049992601787721226,0.2371440298850905,True,True,False,8
2026-09-03,688209,英集芯,33.29,10.745,1327949348.0,9.52625,2.75,0.04999999999999716,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.35215272136474396,0.12522851919561262,0.22692420216913134,0.5214808043875685,0.8987817526709179,0.6393916664619519,0.259390086208966,0.8873748314307323,2.2374790586377387,1.1785617287600503,1.0589173298776884,0.15738816415075088,0.10625537563260598,0.0511327885181449,True,True,False,8
2026-09-03,920725,惠丰钻石,83.8,10.715,825027210.0,22.93163,8.200000000000003,6.8999999999999915,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.09614126880313933,0.026174496644295386,0.06996677215884395,0.12483221476510065,0.3849430151666739,0.10715431042384585,0.277788704742828,0.2526846486480947,1.1843433119439362,0.8220452264203277,0.3622980855236084,0.08117685795458811,0.031840701463926334,0.049336156490661774,True,True,False,8
2026-09-03,600657,信达地产,3.36,10.164,414701309.0,4.7174,0.33999999999999986,0.21999999999999975,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.2727272727272727,-0.014925373134328401,0.2876526458616011,0.25373134328358193,0.9694785002195613,-0.13959408052763667,1.109072580747198,0.653553966642668,2.1408499553890863,1.0860380566482082,1.054811898740878,0.1273920538152363,-0.013742955914815664,0.14113500973005197,True,True,False,8
2026-09-03,000813,德展健康,3.61,10.061,403057219.0,5.58733,0.33000000000000007,0.08000000000000007,True,True,True,False,True,False,False,False,True,True,True,True,0.0,True,True,False,False,False,0.06489675516224191,-0.025862068965517238,0.09075882412775915,0.03735632183908044,0.2934933927524329,-0.1625009948549535,0.4559943876073864,0.09823669745448764,1.0458764341358768,1.0695130144772929,-0.023636580341416025,0.06205011705408666,-0.024181163403754282,0.08623128045784094,True,True,False,8
2026-09-03,605577,龙版传媒,14.14,10.039,675954653.0,11.12294,1.1600000000000001,1.0,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.477533960292581,-0.038190954773869246,0.5157249150664502,0.4211055276381912,1.1668525858756698,-0.3917608641231183,1.558613449998788,0.8310172849724389,2.1414182531413966,1.1415447877247775,0.999873465416619,0.22299892120189643,-0.033455502740271766,0.2564544239421682,True,True,False,8
2026-09-03,002328,新朋股份,10.1,10.022,1451661771.0,26.36813,0.8200000000000003,0.4399999999999995,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.30154639175257736,0.09295774647887334,0.20858864527370402,0.42253521126760574,1.0686841022090798,0.8686633960971021,0.20002070611197775,1.0857106847166327,2.138492555103282,0.8899194670903335,1.2485730880129484,0.14100885739955907,0.10445635803743736,0.03655249936212171,True,True,False,8
2026-09-03,600865,百大集团,10.32,10.021,246986051.0,6.51871,0.9399999999999995,0.22999999999999865,True,True,True,False,True,False,False,False,True,True,True,True,0.0,True,True,False,False,False,0.1582491582491583,0.026497695852534697,0.1317514623966236,0.1889400921658988,0.6194261116390617,0.400424130303808,0.21900198133525367,0.5874069011610491,1.9486137039245854,0.7943368332053315,1.154276870719254,0.08121114920337377,0.03335826156469467,0.0478528876386791,True,True,False,8
2026-09-03,603138,海量数据,14.5,10.015,137890507.0,3.35318,0.6999999999999993,0.0,True,True,True,False,False,False,False,False,True,True,True,True,0.0,True,True,False,False,False,0.14083398898505117,-0.016253869969040213,0.15708785895409139,0.1222910216718267,0.8997113320720468,-0.2845819533985233,1.1842932854705701,0.5723967112752848,1.0126200634181515,0.5385170053837878,0.4741030580343637,0.1390788056377816,-0.030182649399263597,0.1692614550370452,True,True,False,8
2026-09-03,600234,科新发展,22.86,10.01,130341815.0,2.22512,2.099999999999998,0.4299999999999997,True,True,True,False,True,False,False,False,True,True,True,True,0.0,True,True,False,False,False,0.07172995780590719,-0.009289363678588125,0.08101932148449531,0.06177426846261014,0.48075682903996564,-0.1271068557068167,0.6078636847467823,0.27790536720093983,0.8738253253003069,0.533211578864293,0.34061374643601383,0.08208729562885558,-0.017421534052906133,0.09950882968176172,False,True,False,8
2026-09-03,002787,华源控股,24.4,10.009,570590016.0,9.6311,1.9599999999999973,0.10999999999999943,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.11721611721611724,0.020560747663551426,0.09665536955256582,0.14018691588785037,0.5940007135810244,0.15000841494033157,0.4439922986406928,0.4192226867810538,1.022632986606722,0.7643763017374592,0.2582566848692629,0.1146218817027027,0.026898724642320793,0.0877231570603819,True,True,False,8
2026-09-03,002969,嘉美包装,13.41,10.008,519239531.0,3.66005,1.1400000000000006,0.08000000000000007,True,True,True,False,True,False,False,False,True,True,True,True,0.0,True,True,True,True,False,0.07108626198083079,-0.029457364341085368,0.10054362632191616,0.03953488372093017,0.5222527364297201,-0.24305594651477397,0.7653086829444942,0.1536466043881163,0.623300381558582,0.5352861907206781,0.08801419083790396,0.11404816054031185,-0.05503105600655547,0.1690792165468673,False,True,False,8
2026-09-03,603162,海通发展,13.31,10.0,1022411157.0,18.35737,1.0600000000000005,0.28000000000000114,True,True,True,False,True,False,False,False,True,True,True,True,0.0,True,True,False,False,False,0.11287625418060188,0.011844331641285955,0.10103192253931592,0.12605752961082906,0.5463293735439205,0.1511883103889142,0.3951410631550063,0.4423847117109052,1.2013185694202804,0.8369221771450907,0.3643963922751897,0.09396030083433449,0.01415224971297731,0.07980805112135718,True,True,False,8
2026-09-03,603728,鸣志电器,53.35,10.0,461910502.0,2.07659,4.009999999999998,1.0,True,True,True,False,True,False,False,False,True,True,True,True,0.0,True,True,False,False,False,0.11424394319131159,0.018723404255319265,0.09552053893599233,0.13510638297872335,0.5237283101043587,0.2275181575528386,0.2962101525515201,0.4497100196113732,1.0365014315156897,0.8423078248583145,0.19419360665737528,0.11022072880714806,0.02222869561786245,0.08799203318928561,False,True,False,8
2026-09-03,603150,万朗磁塑,62.15,10.0,281072520.0,5.46109,5.030000000000001,2.3100000000000023,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.222943722943723,-0.02848403746893524,0.25142776041265824,0.18810934811699487,0.6638144658524051,-0.3196159268580528,0.983430392710458,0.44263934781182335,1.7084522139064133,0.9093437278111712,0.7991084860952421,0.13049456176123142,-0.03132373006794419,0.16181829182917562,True,True,False,8
