trade_date,code,name,close,pct_chg,amount,turnover_rate,attack_k,days_since_attack,retains_attack_close,center_not_falling_5d,volume_contracting_5d,range_contracting_5d,pre_ignition_window,scan_score
2026-08-21,301631,壹连科技,66.83,-0.388,175997311.0,,False,3.0,False,True,False,False,False,1
2026-08-21,300543,朗科智能,7.69,-0.389,45878032.0,,False,3.0,False,True,False,False,False,1
2026-08-21,000923,河钢资源,15.19,-0.393,132821645.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300441,鲍斯股份,6.82,-0.438,26520681.0,,False,3.0,False,True,False,False,False,1
2026-08-21,688061,灿瑞科技,37.3,-0.48,50332313.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300456,赛微电子,31.39,-0.507,410471933.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300386,飞天诚信,11.43,-0.522,179269942.0,,False,3.0,False,True,False,False,False,1
2026-08-21,688558,国盛智科,32.03,-0.528,26955035.0,,False,4.0,False,True,False,False,False,1
2026-08-21,002578,闽发铝业,3.73,-0.533,128615083.0,,False,3.0,False,True,False,False,False,1
2026-08-21,001356,富岭股份,9.1,-0.546,53079503.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300506,名家汇,5.2,-0.574,118465682.0,,False,4.0,False,True,False,False,False,1
2026-08-21,600141,兴发集团,30.68,-0.583,757212852.0,,False,4.0,False,True,False,False,False,1
2026-08-21,002522,浙江众成,5.11,-0.584,145146667.0,,False,1.0,True,False,False,False,False,1
2026-08-21,688383,新益昌,127.25,-0.586,308153886.0,,False,3.0,False,True,False,False,False,1
2026-08-21,688001,华兴源创,52.99,-0.619,386751010.0,,False,3.0,False,True,False,False,False,1
2026-08-21,002478,常宝股份,6.31,-0.63,94370135.0,,False,4.0,False,True,False,False,False,1
2026-08-21,603025,大豪科技,13.81,-0.647,117024850.0,,False,5.0,False,True,False,False,False,1
2026-08-21,688612,威迈斯,33.18,-0.659,124828912.0,,False,4.0,False,True,False,False,False,1
2026-08-21,300656,民德电子,26.95,-0.663,149301476.0,,False,4.0,False,True,False,False,False,1
2026-08-21,920819,颖泰生物,2.99,-0.664,14718582.0,,False,3.0,False,True,False,False,False,1
2026-08-21,688249,晶合集成,39.12,-0.685,575822851.0,,False,4.0,False,True,False,False,False,1
