trade_date,code,name,close,pct_chg,amount,turnover_rate,body_abs,prev_body_abs,body_wins_prev,volume_wins_prev,bullish_dual_win,bearish_dual_win,bullish_reversal_dual_win,bullish_continuation_dual_win,bearish_reversal_dual_win,bearish_continuation_dual_win,fire_k,fire_k_dual_win,fire_k_volume_expanded,attack_k,days_since_attack,retains_attack_close,center_not_falling_5d,volume_contracting_5d,range_contracting_5d,pre_ignition_window,ret_5d,prior_ret_5d,delta_net_displacement_5d,ret_10d,path_efficiency_5d,prior_path_efficiency_5d,delta_path_efficiency_5d,path_efficiency_10d,volume_intensity_5d,prior_volume_intensity_5d,delta_volume_intensity_5d,vp_conversion_efficiency_5d,prior_vp_conversion_efficiency_5d,delta_vp_conversion_efficiency_5d,near_or_breaks_20d_high,price_efficiency_improving,quiet_rising_efficiency,scan_score,effective_pre_close,pre_close_source,name_source,close_to_close_pct,board_bucket,daily_limit_pct,daily_limit_pct_source,ipo_no_limit_days,listing_trade_number,listing_age_source,price_limit_active,price_limit_active_source,market_session_number,market_session_source,adjacent_market_session,board_normalized_move,limit_up_price,limit_up_price_source,reported_limit_up_streak,reported_limit_up_streak_source,is_limit_up,is_first_limit_up,limit_up_streak,limit_up_streak_source,limit_up_sequence_status,is_one_price_limit_up,price_attack_k,days_since_price_attack,price_attack_close,last_price_attack_date,price_attack_dual_win,price_attack_volume_expanded,retains_price_attack_close,priority_score,quality_evidence_count,attack_registry,mandatory_accounting,accounting_reason,discovery_lane,mandatory_compare_seed,mandatory_reason,review_status,global_rank,priority_rank,lane_rank,first_limit_up_rank,first_seen_date,as_of_date,point_in_time_state_unknown,future_data_used,future_data_status,audit_key,report_included,report_reject_code,report_mandatory_total,report_accounting_total,report_included_total,report_mandatory_included,report_accounting_included,silent_drop_count,unrendered_mandatory_codes,unrendered_accounting_codes,permission_status,first_planned_date,first_reported_date,first_delivery_receipt_id,first_delivery_receipt_at,coverage_status,registry_expected_total,registry_accounted_total,limit_up_expected_total,limit_up_accounted_total,first_limit_expected_total,first_limit_accounted_total,streak_expected_total,streak_accounted_total,seed_expected_total,seed_accounted_total,unaccounted_registry_codes,unaccounted_limit_up_codes,unaccounted_first_limit_codes,unaccounted_streak_codes,unaccounted_seed_codes,input_coverage_status,input_total_rows,input_usable_rows,input_previous_trade_date,input_previous_total_rows,input_previous_row_ratio,history_guard_version,history_guard_mode,price_attack_age_market_sessions,price_attack_span_reviewed_suspension_count,price_attack_span_unexplained_gap_count,price_attack_span_unknown_reference_rows,price_attack_acceptance_usable,legacy_attack_age_market_sessions,legacy_attack_span_reviewed_suspension_count,legacy_attack_span_unexplained_gap_count,legacy_attack_span_unknown_reference_rows,legacy_attack_acceptance_usable,pre_ignition_semantic_usable,history_report_eligible,history_report_reject_code,history_semantic_reason_codes,history_scope_missing_bar_count,history_scope_reviewed_suspension_count,history_scope_unexplained_gap_count,history_reference_unknown_rows,history_ledger_status,history_ledger_sha256,historical_sentinels_passed,historical_sentinel_count,historical_sentinel_evidence,scan_version
2026-09-22,300816,艾可蓝,66.1,1.318,249305662.0,6.56794,1.0999999999999943,0.7600000000000051,True,True,True,False,True,False,False,False,False,False,False,False,3.0,True,True,True,True,True,0.10479692461975598,-0.1015167442558943,0.20631366887565028,-0.007358462231566443,0.8304570728890914,-0.6597085791416092,1.4901656520307007,-0.0262733670693814,0.7158706833595494,0.7019855143088113,0.013885169050738111,0.146390859488684,-0.14461373089136986,0.2910045903800539,False,True,False,9,65.24,SUPPLIED,SPOT_SAME_DAY,1.3182096873084026,CHINEXT,20.0,RULE_FALLBACK,5,1610,DATABASE_FULL_HISTORY,True,LISTING_AGE_AFTER_IPO_WINDOW,8731,DATABASE_MARKET_CALENDAR,True,0.06591048436542013,78.29,CALCULATED_FROM_RULE_FALLBACK,,,False,False,0,COMPUTED_FROM_DAILY_BARS,NOT_LIMIT_UP,False,False,3.0,63.88,2026-09-17,False,False,True,9,3,False,False,,PRE_IGNITION,True,PRE_IGNITION_WINDOW,PENDING_MANDATORY_REVIEW,1,5,2,,2026-09-17,2026-09-22,True,,UNKNOWN_POINT_IN_TIME_SECURITY_STATUS,2026-09-22|300816,True,,70,65,93,70,65,0,,,PENDING_REVIEW,2026-09-22,,,,PASS,235,235,65,65,41,41,24,24,70,70,,,,,,PASS,5554,5554,2026-09-21,5553,1.0003593890386344,V02_HISTORY_GUARD_R1_20260908,FORMAL_SCAN_GUARD,3.0,0,0,0,True,3.0,0,0,0,True,True,True,,,0,0,0,0,REVIEWED_ANNOUNCEMENTS_PLUS_PERSISTED_DATED_SUSPENSIONS,d162eb45bfcc0f76c4eaba97419d2bc78c38619234f8d01f9ba548b69f4e7990,True,3,LEGACY_FEED_ARTIFACT_PLUS_V02_FIRST_LIMIT_REPLAY,0.2
2026-09-22,688379,华光新材,56.3,-1.28,169288814.0,3.10697,1.6600000000000037,1.009999999999998,True,False,False,False,False,False,False,False,False,False,False,False,4.0,True,True,True,True,True,0.05332086061739938,-0.07733471431037453,0.1306555749277739,-0.028137407215605093,0.4074612671514172,-0.713804673710022,1.1212659408614392,-0.11762995390294284,0.7466186563624155,0.7375068898501448,0.009111766512270747,0.07141645894194873,-0.10485964995674589,0.1762761088986946,False,True,False,9,57.03,SUPPLIED,SPOT_SAME_DAY,-1.2800280554094434,STAR,20.0,RULE_FALLBACK,5,1479,DATABASE_FULL_HISTORY,True,LISTING_AGE_AFTER_IPO_WINDOW,8731,DATABASE_MARKET_CALENDAR,True,-0.06400140277047217,68.44,CALCULATED_FROM_RULE_FALLBACK,,,False,False,0,COMPUTED_FROM_DAILY_BARS,NOT_LIMIT_UP,False,False,4.0,56.33,2026-09-16,False,False,True,9,3,False,False,,PRE_IGNITION,True,PRE_IGNITION_WINDOW,PENDING_MANDATORY_REVIEW,2,6,3,,2026-09-16,2026-09-22,True,,UNKNOWN_POINT_IN_TIME_SECURITY_STATUS,2026-09-22|688379,True,,70,65,93,70,65,0,,,PENDING_REVIEW,2026-09-21,,,,PASS,235,235,65,65,41,41,24,24,70,70,,,,,,PASS,5554,5554,2026-09-21,5553,1.0003593890386344,V02_HISTORY_GUARD_R1_20260908,FORMAL_SCAN_GUARD,4.0,0,0,0,True,4.0,0,0,0,True,True,True,,,0,0,0,0,REVIEWED_ANNOUNCEMENTS_PLUS_PERSISTED_DATED_SUSPENSIONS,d162eb45bfcc0f76c4eaba97419d2bc78c38619234f8d01f9ba548b69f4e7990,True,3,LEGACY_FEED_ARTIFACT_PLUS_V02_FIRST_LIMIT_REPLAY,0.2
2026-09-22,688800,瑞可达连接系统,68.66,-1.732,562640367.0,2.78679,2.1300000000000097,0.12999999999999545,True,False,False,False,False,False,False,False,False,False,False,False,4.0,True,True,True,True,True,0.044576296972463014,-0.008597285067873162,0.053173582040336176,0.035595776772247456,0.4100893376204537,-0.08871010207326904,0.49879943969372276,0.17311994680774553,0.7867043799170924,0.9047711909398506,-0.11806681102275818,0.056662067875052034,-0.009502164916350338,0.06616423279140238,True,True,False,9,69.87,SUPPLIED,SPOT_SAME_DAY,-1.7317876055531811,STAR,20.0,RULE_FALLBACK,5,1255,DATABASE_FULL_HISTORY,True,LISTING_AGE_AFTER_IPO_WINDOW,8731,DATABASE_MARKET_CALENDAR,True,-0.08658938027765906,83.84,CALCULATED_FROM_RULE_FALLBACK,,,False,False,0,COMPUTED_FROM_DAILY_BARS,NOT_LIMIT_UP,False,False,4.0,69.59,2026-09-16,False,False,True,9,4,False,False,,PRE_IGNITION,True,PRE_IGNITION_WINDOW,PENDING_MANDATORY_REVIEW,3,4,1,,2026-09-16,2026-09-22,True,,UNKNOWN_POINT_IN_TIME_SECURITY_STATUS,2026-09-22|688800,True,,70,65,93,70,65,0,,,PENDING_REVIEW,2026-09-21,,,,PASS,235,235,65,65,41,41,24,24,70,70,,,,,,PASS,5554,5554,2026-09-21,5553,1.0003593890386344,V02_HISTORY_GUARD_R1_20260908,FORMAL_SCAN_GUARD,4.0,0,0,0,True,4.0,0,0,0,True,True,True,,,0,0,0,0,REVIEWED_ANNOUNCEMENTS_PLUS_PERSISTED_DATED_SUSPENSIONS,d162eb45bfcc0f76c4eaba97419d2bc78c38619234f8d01f9ba548b69f4e7990,True,3,LEGACY_FEED_ARTIFACT_PLUS_V02_FIRST_LIMIT_REPLAY,0.2
2026-09-22,603286,日盈电子,43.61,-2.895,144979809.0,2.80996,1.4399999999999977,0.25,True,True,False,True,False,False,True,False,False,False,False,False,3.0,True,True,True,True,True,0.06081245439065919,-0.10649858726363837,0.16731104165429755,-0.052162573353618735,0.5112184282098448,-0.6932987602901319,1.2045171884999766,-0.1913750207017988,0.7646901233545601,0.7644647351156019,0.00022538823895823512,0.07952561767619767,-0.13931131466454594,0.2188369323407436,False,True,False,9,44.91,SUPPLIED,SPOT_SAME_DAY,-2.894678245379645,MAIN,10.0,RULE_FALLBACK,5,1621,DATABASE_FULL_HISTORY,True,LISTING_AGE_AFTER_IPO_WINDOW,8731,DATABASE_MARKET_CALENDAR,True,-0.2894678245379645,49.4,CALCULATED_FROM_RULE_FALLBACK,,,False,False,0,COMPUTED_FROM_DAILY_BARS,NOT_LIMIT_UP,False,False,3.0,43.55,2026-09-17,False,False,True,9,3,False,False,,PRE_IGNITION,True,PRE_IGNITION_WINDOW,PENDING_MANDATORY_REVIEW,4,7,4,,2026-09-17,2026-09-22,True,,UNKNOWN_POINT_IN_TIME_SECURITY_STATUS,2026-09-22|603286,True,,70,65,93,70,65,0,,,PENDING_REVIEW,2026-09-22,,,,PASS,235,235,65,65,41,41,24,24,70,70,,,,,,PASS,5554,5554,2026-09-21,5553,1.0003593890386344,V02_HISTORY_GUARD_R1_20260908,FORMAL_SCAN_GUARD,3.0,0,0,0,True,3.0,0,0,0,True,True,True,,,0,0,0,0,REVIEWED_ANNOUNCEMENTS_PLUS_PERSISTED_DATED_SUSPENSIONS,d162eb45bfcc0f76c4eaba97419d2bc78c38619234f8d01f9ba548b69f4e7990,True,3,LEGACY_FEED_ARTIFACT_PLUS_V02_FIRST_LIMIT_REPLAY,0.2
2026-09-22,920526,凯华材料,26.14,29.985,334439254.0,25.66282,5.760000000000002,0.7199999999999989,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.39413333333333345,-0.06669985067197615,0.4608331840053096,0.3011448481831758,0.9384437840937918,-0.7453738921433878,1.6838176762371795,0.5910930014053294,1.7516062158107943,0.7616899941636712,0.9899162216471231,0.225012522663888,-0.08756823797483644,0.3125807606387244,True,True,False,8,20.11,SUPPLIED,SPOT_SAME_DAY,29.985082048731982,BEIJING,30.0,RULE_FALLBACK,1,907,DATABASE_FULL_HISTORY,True,AUTHORITATIVE_LIMIT_PRICE,8731,DATABASE_MARKET_CALENDAR,True,0.9995027349577328,26.14,EASTMONEY_LIMIT_UP_POOL,1.0,EASTMONEY_LIMIT_UP_POOL,True,True,1,EASTMONEY_LIMIT_UP_POOL,REPORTED_POINT_IN_TIME,False,True,0.0,26.14,2026-09-22,True,True,True,8,6,True,True,FIRST_LIMIT_UP,FIRST_LIMIT_UP,True,FIRST_LIMIT_UP_HIGH_QUALITY,PENDING_MANDATORY_REVIEW,5,21,14,10,2026-09-22,2026-09-22,True,,UNKNOWN_POINT_IN_TIME_SECURITY_STATUS,2026-09-22|920526,True,,70,65,93,70,65,0,,,PENDING_REVIEW,2026-09-22,,,,PASS,235,235,65,65,41,41,24,24,70,70,,,,,,PASS,5554,5554,2026-09-21,5553,1.0003593890386344,V02_HISTORY_GUARD_R1_20260908,FORMAL_SCAN_GUARD,0.0,0,0,0,False,0.0,0,0,0,False,False,True,,,0,0,0,0,REVIEWED_ANNOUNCEMENTS_PLUS_PERSISTED_DATED_SUSPENSIONS,d162eb45bfcc0f76c4eaba97419d2bc78c38619234f8d01f9ba548b69f4e7990,True,3,LEGACY_FEED_ARTIFACT_PLUS_V02_FIRST_LIMIT_REPLAY,0.2
2026-09-22,688781,视涯科技,51.95,20.005,576188211.0,28.09862,7.960000000000001,3.289999999999999,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.4695898161244696,-0.11889332003988029,0.5884831361643499,0.29486540378863424,1.1461973455959908,-0.7974008262595237,1.9435981718555144,0.5276810454822649,1.6298386439504051,0.8755605000386473,0.7542781439117578,0.28812043318980163,-0.13579109614313611,0.42391152933293774,True,True,False,8,43.29,SUPPLIED,SPOT_SAME_DAY,20.004620004620023,STAR,20.0,RULE_FALLBACK,5,125,DATABASE_FULL_HISTORY,True,AUTHORITATIVE_LIMIT_PRICE,8731,DATABASE_MARKET_CALENDAR,True,1.000231000231001,51.95,EASTMONEY_LIMIT_UP_POOL,1.0,EASTMONEY_LIMIT_UP_POOL,True,True,1,EASTMONEY_LIMIT_UP_POOL,REPORTED_POINT_IN_TIME,False,True,0.0,51.95,2026-09-22,True,True,True,8,6,True,True,FIRST_LIMIT_UP,FIRST_LIMIT_UP,True,FIRST_LIMIT_UP_HIGH_QUALITY,PENDING_MANDATORY_REVIEW,6,17,10,9,2026-09-17,2026-09-22,True,,UNKNOWN_POINT_IN_TIME_SECURITY_STATUS,2026-09-22|688781,True,,70,65,93,70,65,0,,,PENDING_REVIEW,2026-09-22,,,,PASS,235,235,65,65,41,41,24,24,70,70,,,,,,PASS,5554,5554,2026-09-21,5553,1.0003593890386344,V02_HISTORY_GUARD_R1_20260908,FORMAL_SCAN_GUARD,0.0,0,0,0,False,0.0,0,0,0,False,False,True,,,0,0,0,0,REVIEWED_ANNOUNCEMENTS_PLUS_PERSISTED_DATED_SUSPENSIONS,d162eb45bfcc0f76c4eaba97419d2bc78c38619234f8d01f9ba548b69f4e7990,True,3,LEGACY_FEED_ARTIFACT_PLUS_V02_FIRST_LIMIT_REPLAY,0.2
2026-09-22,300324,旋极信息,4.14,20.0,1162992703.0,16.90805,0.6199999999999997,0.050000000000000266,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.2248520710059172,-0.05586592178770955,0.28071799279362675,0.15642458100558643,0.857920268878074,-0.8895384260254426,1.7474586949035167,0.4814649520487835,1.9842205193452993,0.7495499226823527,1.2346705966629465,0.11332010167907544,-0.0745326229743134,0.18785272465338884,True,True,False,8,3.45,SUPPLIED,SPOT_SAME_DAY,19.999999999999996,CHINEXT,20.0,RULE_FALLBACK,5,1626,DATABASE_FULL_HISTORY,True,AUTHORITATIVE_LIMIT_PRICE,8731,DATABASE_MARKET_CALENDAR,True,0.9999999999999998,4.14,EASTMONEY_LIMIT_UP_POOL,1.0,EASTMONEY_LIMIT_UP_POOL,True,True,1,EASTMONEY_LIMIT_UP_POOL,REPORTED_POINT_IN_TIME,False,True,0.0,4.14,2026-09-22,True,True,True,8,6,True,True,FIRST_LIMIT_UP,FIRST_LIMIT_UP,True,FIRST_LIMIT_UP_HIGH_QUALITY,PENDING_MANDATORY_REVIEW,7,19,12,5,2026-09-22,2026-09-22,True,,UNKNOWN_POINT_IN_TIME_SECURITY_STATUS,2026-09-22|300324,True,,70,65,93,70,65,0,,,PENDING_REVIEW,2026-09-22,,,,PASS,235,235,65,65,41,41,24,24,70,70,,,,,,PASS,5554,5554,2026-09-21,5553,1.0003593890386344,V02_HISTORY_GUARD_R1_20260908,FORMAL_SCAN_GUARD,0.0,0,0,0,False,0.0,0,0,0,False,False,True,,,0,0,0,0,REVIEWED_ANNOUNCEMENTS_PLUS_PERSISTED_DATED_SUSPENSIONS,d162eb45bfcc0f76c4eaba97419d2bc78c38619234f8d01f9ba548b69f4e7990,True,3,LEGACY_FEED_ARTIFACT_PLUS_V02_FIRST_LIMIT_REPLAY,0.2
2026-09-22,301234,五洲医疗,139.74,20.0,682924429.0,12.50143,16.74000000000001,0.21999999999999886,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.31830188679245297,-0.005441921561268548,0.3237438083537215,0.3111277913304562,1.078352413321417,-0.03755347561486619,1.1159058889362832,0.7069711865651517,1.2704308688470434,0.5439150440518822,0.7265158247951612,0.25054640484398977,-0.010005094767611284,0.26055149961160107,True,True,False,8,116.45,SUPPLIED,SPOT_SAME_DAY,19.999999999999996,CHINEXT,20.0,RULE_FALLBACK,5,1016,DATABASE_FULL_HISTORY,True,AUTHORITATIVE_LIMIT_PRICE,8731,DATABASE_MARKET_CALENDAR,True,0.9999999999999998,139.74,EASTMONEY_LIMIT_UP_POOL,1.0,EASTMONEY_LIMIT_UP_POOL,True,True,1,EASTMONEY_LIMIT_UP_POOL,REPORTED_POINT_IN_TIME,False,True,0.0,139.74,2026-09-22,True,True,True,8,6,True,True,FIRST_LIMIT_UP,FIRST_LIMIT_UP,True,FIRST_LIMIT_UP_HIGH_QUALITY,PENDING_MANDATORY_REVIEW,8,20,13,8,2026-09-08,2026-09-22,True,,UNKNOWN_POINT_IN_TIME_SECURITY_STATUS,2026-09-22|301234,True,,70,65,93,70,65,0,,,PENDING_REVIEW,2026-09-18,,,,PASS,235,235,65,65,41,41,24,24,70,70,,,,,,PASS,5554,5554,2026-09-21,5553,1.0003593890386344,V02_HISTORY_GUARD_R1_20260908,FORMAL_SCAN_GUARD,0.0,0,0,0,False,0.0,0,0,0,False,False,True,,,10,10,0,0,REVIEWED_ANNOUNCEMENTS_PLUS_PERSISTED_DATED_SUSPENSIONS,d162eb45bfcc0f76c4eaba97419d2bc78c38619234f8d01f9ba548b69f4e7990,True,3,LEGACY_FEED_ARTIFACT_PLUS_V02_FIRST_LIMIT_REPLAY,0.2
2026-09-22,301047,义翘神州,136.22,16.09,2454359058.0,15.423,23.22,1.3400000000000034,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.3487128712871288,0.013750878249523257,0.33496199303760554,0.367258857773763,1.1085852354217838,0.05450156218780529,1.0540836732339784,0.6478838269389334,1.4314157883648664,0.8333160911193771,0.5980996972454893,0.24361396187020556,0.016501395324134416,0.22711256654607115,True,True,False,8,117.34,SUPPLIED,SPOT_SAME_DAY,16.089994886654168,CHINEXT,20.0,RULE_FALLBACK,5,1238,DATABASE_FULL_HISTORY,True,LISTING_AGE_AFTER_IPO_WINDOW,8731,DATABASE_MARKET_CALENDAR,True,0.8044997443327084,140.81,CALCULATED_FROM_RULE_FALLBACK,,,False,False,0,COMPUTED_FROM_DAILY_BARS,NOT_LIMIT_UP,False,True,0.0,136.22,2026-09-22,True,True,True,8,6,True,False,,LOUD_ATTACK,False,,DISCOVERY_ONLY,9,75,5,,2026-09-08,2026-09-22,True,,UNKNOWN_POINT_IN_TIME_SECURITY_STATUS,2026-09-22|301047,True,,70,65,93,70,65,0,,,DISCOVERY_ONLY,2026-09-22,,,,PASS,235,235,65,65,41,41,24,24,70,70,,,,,,PASS,5554,5554,2026-09-21,5553,1.0003593890386344,V02_HISTORY_GUARD_R1_20260908,FORMAL_SCAN_GUARD,0.0,0,0,0,False,0.0,0,0,0,False,False,True,,,0,0,0,0,REVIEWED_ANNOUNCEMENTS_PLUS_PERSISTED_DATED_SUSPENSIONS,d162eb45bfcc0f76c4eaba97419d2bc78c38619234f8d01f9ba548b69f4e7990,True,3,LEGACY_FEED_ARTIFACT_PLUS_V02_FIRST_LIMIT_REPLAY,0.2
2026-09-22,688105,诺唯赞生物,26.45,15.502,987247159.0,7.35136,3.849999999999998,0.6999999999999993,True,True,True,False,False,True,False,False,True,True,True,True,0.0,True,True,False,False,False,0.31200396825396814,-0.02183406113537112,0.33383802938933926,0.28335759340126154,1.0936994799822581,-0.16142549305843518,1.2551249730406933,0.6738078109866135,1.4941637463094737,0.6172624724871787,0.876901273822295,0.2088151108100473,-0.03537240980711757,0.24418752061716487,True,True,False,8,22.9,SUPPLIED,SPOT_SAME_DAY,15.502183406113534,STAR,20.0,RULE_FALLBACK,5,1180,DATABASE_FULL_HISTORY,True,LISTING_AGE_AFTER_IPO_WINDOW,8731,DATABASE_MARKET_CALENDAR,True,0.7751091703056767,27.48,CALCULATED_FROM_RULE_FALLBACK,,,False,False,0,COMPUTED_FROM_DAILY_BARS,NOT_LIMIT_UP,False,True,0.0,26.45,2026-09-22,True,True,True,8,6,True,False,,LOUD_ATTACK,False,,DISCOVERY_ONLY,10,76,6,,2026-09-08,2026-09-22,True,,UNKNOWN_POINT_IN_TIME_SECURITY_STATUS,2026-09-22|688105,True,,70,65,93,70,65,0,,,DISCOVERY_ONLY,2026-09-22,,,,PASS,235,235,65,65,41,41,24,24,70,70,,,,,,PASS,5554,5554,2026-09-21,5553,1.0003593890386344,V02_HISTORY_GUARD_R1_20260908,FORMAL_SCAN_GUARD,0.0,0,0,0,False,0.0,0,0,0,False,False,True,,,0,0,0,0,REVIEWED_ANNOUNCEMENTS_PLUS_PERSISTED_DATED_SUSPENSIONS,d162eb45bfcc0f76c4eaba97419d2bc78c38619234f8d01f9ba548b69f4e7990,True,3,LEGACY_FEED_ARTIFACT_PLUS_V02_FIRST_LIMIT_REPLAY,0.2
